		10	12	13	15	18	20	23	27	31	36	41	47	54	63	72	83	95	109	125	144	165	190	218	251	288	331	380	436	501	575	660	758	870	1000	1148	1318	1513	1737	1995	2290	2630	3019	3467	3981	4570	5248	6025	6918	7943	9120	10471	12022	13803	15848	18197	20892	23988	27542	31622	36307	41686	47863	54954	63095	72443	83176	95499	109647	125892	144543	165958	190546	218776	251188	288403	331131	380189	436515	501187	575439	660693	758577	870963	1000000

MergeSort	Random	1.770928	0.089291	0.085209	0.095516	0.129554	0.133258	0.139157	0.162592	0.196960	0.242361	0.273128	0.313982	0.380906	0.484822	0.628775	0.711528	0.849923	1.089328	1.229929	1.707643	1.960219	2.343070	2.908706	3.603879	4.684167	5.566277	6.693637	7.925536	9.784518	12.561300	14.992970	18.005263	21.863333	26.192593	32.926800	39.288318	46.380220	55.068831	65.559690	82.706931	97.497619	113.310811	133.731250	156.058182	196.560465	228.254054	266.306452	307.915385	357.791304	443.733333	514.368750	595.950000	684.883333	787.381818	979.462500	1122.785714	1291.650000	1483.500000	1707.060000	2109.825000	2430.233333	2786.700000	3186.450000	3689.750000	4509.400000	5160.500000	5930.500000	6809.500000	7826.200000	9576.700000	11053.600000	12675.900000	14676.900000	16755.500000	20578.400000	23669.100000	27123.900000	31178.700000	35801.200000	43562.900000	50014.900000	57392.200000	65971.300000	76246.900000
std::sort	Random	0.022644	0.030189	0.025869	0.038650	0.056252	0.048686	0.069421	0.135821	0.165756	0.138517	0.230670	0.227759	0.220018	0.308442	0.369485	0.590604	0.609595	0.825988	0.920543	1.079013	1.390981	1.807020	2.140177	2.764420	3.470661	4.084937	5.013601	6.589788	7.961935	9.912676	11.726294	15.387706	18.127740	21.639842	27.028105	32.961200	40.614706	48.117647	58.743262	70.646552	83.731633	100.904878	120.989855	142.979310	170.483673	203.230952	239.897143	285.350000	335.616000	394.866667	469.044444	545.050000	637.823077	751.963636	885.655556	1026.300000	1197.828571	1394.600000	1632.820000	1905.500000	2224.233333	2565.133333	3009.800000	3528.650000	4080.000000	4776.400000	5511.600000	6420.900000	7419.200000	8697.000000	10022.100000	11781.500000	13658.200000	15933.200000	18359.300000	21353.500000	25077.400000	29180.900000	33485.100000	38684.800000	45304.300000	52833.200000	61079.500000	70907.500000
std::stable_sort	Random	0.024678	0.033216	0.028616	0.041304	0.058437	0.050762	0.072403	0.138123	0.167147	0.152764	0.167220	0.193291	0.329660	0.422406	0.527306	0.571129	0.811934	0.947071	1.108836	1.362010	1.866335	2.173029	2.935216	3.295367	4.146487	5.277751	6.265371	7.000326	8.733773	10.498782	12.647376	15.773897	18.625983	23.130055	26.422741	31.692222	38.541818	46.244262	56.688000	64.758140	78.852336	93.664835	110.387013	128.721212	153.642857	179.676596	212.137500	252.176471	296.082759	345.434783	403.670000	480.366667	554.680000	652.823077	760.763636	882.144444	1046.287500	1219.100000	1433.083333	1659.580000	1930.275000	2251.366667	2628.133333	3064.450000	3578.700000	4142.550000	4816.700000	5625.000000	6615.400000	7620.500000	8827.700000	10339.700000	12061.100000	14010.600000	16154.300000	18861.700000	21948.600000	25581.800000	29704.600000	34515.900000	39913.900000	46706.700000	54095.900000	63810.200000
StateSort	Random	1.792395	0.100368	0.096438	0.113261	0.135409	0.129822	0.137228	0.170278	0.189392	0.214087	0.216081	0.250757	0.284784	0.347566	0.372293	0.423435	0.477162	0.551763	0.604281	0.735103	0.880623	0.982012	1.208798	1.499260	1.732691	2.101572	2.689789	3.496508	3.973392	4.874952	5.850154	7.000655	8.628378	10.358849	12.339116	15.477426	18.751181	24.869231	31.642731	38.222340	49.035135	60.057377	76.561053	96.211688	118.104687	144.164151	176.106818	212.272973	255.358065	307.892308	370.463636	437.647368	516.080000	606.715385	716.975000	834.100000	965.288889	1123.128571	1314.350000	1541.420000	1789.375000	2084.200000	2381.800000	2772.266667	3243.600000	3822.950000	4435.200000	5098.200000	5881.900000	6856.500000	8036.000000	9360.400000	10857.000000	12782.200000	14913.400000	17234.100000	20249.900000	23637.000000	27578.400000	31684.400000	36804.200000	42914.200000	49772.100000	58205.300000
MergeSort	Ascending	1.758626	0.066045	0.066804	0.068567	0.109763	0.114274	0.124397	0.132013	0.139666	0.188932	0.218567	0.243615	0.255908	0.299873	0.422364	0.488529	0.537001	0.606388	0.645377	0.930790	1.061314	1.176211	1.353184	1.445167	2.065088	2.376855	2.622600	2.998318	3.268440	4.614537	5.300184	5.848897	6.725312	7.421615	10.145455	11.680488	12.972317	14.828571	16.430577	22.095408	25.573887	28.508054	32.611872	36.306087	48.151397	56.043791	62.054286	71.514050	79.445872	103.717073	119.854167	134.578125	154.356364	171.556250	221.405263	255.818750	287.641379	330.244000	370.904545	474.288235	548.157143	616.923077	711.172727	796.600000	1008.914286	1158.566667	1314.480000	1510.860000	1693.700000	2137.833333	2466.933333	2785.950000	3208.700000	3590.950000	4718.100000	5380.200000	6142.800000	7094.000000	8023.900000	10013.300000	11559.200000	13289.400000	15381.900000	17396.800000
std::sort	Ascending	0.013000	0.014553	0.015297	0.021779	0.024121	0.026175	0.029517	0.033980	0.037898	0.076744	0.095242	0.108780	0.121393	0.138873	0.256109	0.284747	0.319710	0.357319	0.396474	0.660023	0.723308	0.796047	0.884314	0.990529	1.581262	1.737568	1.907877	2.168535	2.498999	3.611949	4.011930	4.431603	4.985747	5.585687	8.002525	8.823554	9.788914	10.933584	12.255571	17.113477	19.110526	21.128392	23.675482	26.713043	37.079646	41.188462	45.685185	51.515951	58.014189	79.614019	88.583333	97.790805	110.738667	124.931343	169.849020	189.359091	210.582500	238.174286	268.132258	361.939130	403.360000	450.911111	508.943750	574.092857	765.770000	857.380000	955.000000	1083.585714	1225.916667	1617.675000	1816.475000	2036.633333	2291.000000	2603.866667	3399.650000	3813.050000	4289.000000	4861.700000	5485.500000	7169.700000	8071.200000	9037.000000	10264.300000	11658.800000
std::stable_sort	Ascending	0.016196	0.017709	0.023940	0.025129	0.027143	0.029099	0.032700	0.036900	0.041023	0.064191	0.069741	0.077159	0.085472	0.095978	0.182333	0.214023	0.221946	0.243745	0.268600	0.387204	0.419482	0.455235	0.585583	0.606231	0.879978	1.011134	1.062020	1.283083	1.410966	1.802135	2.049638	2.220962	2.660309	3.007518	3.895947	4.470521	5.059572	5.800842	6.593984	8.268609	9.493764	10.650854	12.285392	13.919829	17.964551	20.319307	22.949719	26.651780	30.307380	37.656019	43.352083	48.688623	56.415385	63.402362	82.083000	93.653488	105.283117	122.643077	139.714035	170.595652	195.889744	220.948571	255.813333	291.172000	368.900000	414.383333	478.260000	554.246154	631.109091	772.850000	887.471429	1006.983333	1152.660000	1326.440000	1672.300000	1913.866667	2177.133333	2529.100000	2883.550000	3700.700000	4189.900000	4797.100000	5596.900000	6708.700000
StateSort	Ascending	1.780292	0.086569	0.089420	0.092189	0.094809	0.098474	0.104102	0.109798	0.117586	0.131221	0.139960	0.149519	0.154281	0.178312	0.199422	0.215288	0.243761	0.270215	0.295991	0.317434	0.368479	0.426283	0.473454	0.502962	0.562239	0.727149	0.811204	1.258585	1.409390	1.582398	1.785199	2.100347	2.361078	2.781529	3.199917	3.450609	4.036964	5.090151	5.850799	6.313747	7.208468	8.218397	9.333563	11.001505	12.998000	14.472509	16.181520	19.382452	22.241713	27.268990	37.917788	40.995055	51.029560	54.567143	65.904167	78.932673	90.196667	103.416216	114.678571	131.473684	157.895652	185.252500	207.834286	242.310000	254.456000	303.747619	361.260000	390.082353	469.100000	515.333333	610.954545	676.825000	766.733333	1058.180000	1470.225000	1694.050000	1886.550000	2182.566667	2508.700000	3124.450000	3988.200000	4979.900000	5827.100000	6693.400000
